13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SY (N/m^2)
9433  ;-5,58175  ;3,2354  ;0,361468  ;-9,00561e+04
5637  ;-5,27464  ;0  ;2,20054  ;-9,00682e+04
9478  ;-4,43358  ;3,1163  ;0,35456  ;-9,00694e+04
11310  ;-5,94849  ;6,32994  ;0,374951  ;-9,00740e+04
5639  ;-4,72682  ;0  ;2,20079  ;-9,00750e+04
9254  ;-6,81461  ;5,57565  ;0,365023  ;-9,01175e+04
7220  ;-6,79383  ;4,44071  ;0,367792  ;-9,01202e+04
6587  ;-7,60841  ;1,82025  ;0  ;-9,01218e+04
9454  ;-4,75  ;0  ;1,29904  ;-9,01255e+04
10480  ;-4,25  ;0  ;1,29904  ;-9,01355e+04
8333  ;0  ;3,73259  ;2,18958  ;-9,01381e+04
10448  ;-3,1976  ;5,60216  ;0,364878  ;-9,01399e+04
5492  ;-10  ;2,45069  ;1,77218  ;-9,01543e+04
5916  ;-3,2393  ;0  ;2,19011  ;-9,01543e+04
10634  ;-1,77146  ;7,55052  ;0  ;-9,01565e+04
3821  ;-2,3911  ;8,18105  ;0  ;-9,01626e+04
9416  ;-8,18105  ;7,6089  ;0  ;-9,01743e+04
8332  ;0  ;3,48567  ;1,7355  ;-9,01879e+04
10755  ;-6,69653  ;3,25577  ;0,313697  ;-9,01879e+04
5948  ;0  ;6,76054  ;2,1911  ;-9,01953e+04
8605  ;-6,65854  ;6,75224  ;0,312632  ;-9,01973e+04
9428  ;-10  ;2,79282  ;2,13224  ;-9,02070e+04
7931  ;-7,55053  ;8,22854  ;0  ;-9,02129e+04
5663  ;-6,51434  ;10  ;1,73548  ;-9,02177e+04
433  ;-10  ;7,02867  ;1,73896  ;-9,02285e+04
11312  ;-5,56474  ;6,84389  ;0,374951  ;-9,02398e+04
2428  ;-6,25  ;10  ;1,29904  ;-9,02403e+04
9700  ;-8,22802  ;2,45089  ;0  ;-9,02690e+04
10917  ;-6,64071  ;6,23938  ;0,366282  ;-9,02734e+04
9638  ;-5,3082  ;2,63082  ;0,323275  ;-9,02847e+04
9623  ;-2,84568  ;5,23561  ;0,353035  ;-9,02925e+04
9481  ;-4,76212  ;2,63076  ;0,323275  ;-9,02945e+04
2285  ;0  ;6,25  ;1,29904  ;-9,02985e+04
6270  ;-3,75489  ;6,64192  ;0,374698  ;-9,03021e+04
325  ;-2,97133  ;10  ;1,73896  ;-9,03075e+04
7077  ;-3,65132  ;3,31025  ;0,354985  ;-9,03104e+04
8760  ;-6,22637  ;3,33567  ;0,364799  ;-9,03131e+04
7186  ;0  ;3,21826  ;2,19304  ;-9,03167e+04
9622  ;-2,84547  ;4,69787  ;0,353035  ;-9,03342e+04
9444  ;0  ;3,75  ;1,29904  ;-9,03380e+04
10034  ;0  ;5,75  ;1,29904  ;-9,03413e+04
7253  ;-4,97424  ;7,67766  ;0,293016  ;-9,03579e+04
5662  ;-6,78085  ;10  ;2,19234  ;-9,03670e+04
9584  ;-3,36336  ;3,7439  ;0,374612  ;-9,03691e+04
11135  ;-6,18396  ;6,67484  ;0,38245  ;-9,03818e+04
6428  ;-10  ;9,56699  ;4,25  ;-9,03967e+04
11373  ;-6,86171  ;5,0879  ;0,389066  ;-9,03976e+04
9692  ;-10  ;0,891111  ;2,97853  ;-9,04039e+04
6425  ;-9,56699  ;10  ;4,25  ;-9,04138e+04
8468  ;0  ;9,10889  ;2,97853  ;-9,04165e+04
4400  ;-10  ;0,433013  ;4,25  ;-9,04198e+04
607  ;-8,18808  ;1,90178  ;0  ;-9,04218e+04
4402  ;-9,56699  ;0  ;4,25  ;-9,04303e+04
9474  ;0  ;0,433013  ;4,25  ;-9,04396e+04
5514  ;0  ;9,56699  ;4,25  ;-9,04436e+04
3672  ;-0,433013  ;0  ;4,25  ;-9,04445e+04
5516  ;-0,433013  ;10  ;4,25  ;-9,04461e+04
5668  ;-0,887996  ;0  ;2,98546  ;-9,04625e+04
2286  ;0  ;6,5  ;1,73205  ;-9,04650e+04
8595  ;0  ;3,23567  ;1,30249  ;-9,04674e+04
8925  ;-5,84335  ;2,82328  ;0,364799  ;-9,04735e+04
8306  ;-4,75  ;1,29904  ;0  ;-9,04744e+04
7483  ;-0,869102  ;10  ;2,9949  ;-9,04792e+04
10916  ;-7,15069  ;5,85839  ;0,366282  ;-9,04818e+04
9935  ;0  ;0,869102  ;2,9949  ;-9,04896e+04
7674  ;-3,21809  ;10  ;2,19304  ;-9,04922e+04
