13:36; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 10
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SX (N/m^2)
9962  ;-4,45416  ;5,6694  ;9,3099  ;1,35386e+05
2406  ;-1,87875  ;5,34729  ;9,57686  ;1,35208e+05
8633  ;-5,27435  ;6,53322  ;9,60184  ;1,34146e+05
10119  ;-8,70096  ;3,75  ;10  ;1,34108e+05
10723  ;-8,11923  ;5,36378  ;9,54931  ;1,34027e+05
10169  ;-5,66719  ;5,69032  ;9,26567  ;1,33695e+05
8573  ;-6,56039  ;3,51619  ;9,66714  ;1,33688e+05
8964  ;-1,29904  ;3,75  ;10  ;1,33565e+05
3710  ;-8,66098  ;4,54687  ;9,6253  ;1,33240e+05
1681  ;-4,78269  ;4,06995  ;9,33711  ;1,32815e+05
5403  ;-3,38427  ;4,65995  ;9,29874  ;1,32767e+05
3708  ;-8,09842  ;4,30208  ;9,62409  ;1,32758e+05
10374  ;-8,70096  ;6,25  ;10  ;1,32471e+05
4814  ;-3,30842  ;5,25831  ;9,2924  ;1,31905e+05
1294  ;-2,92835  ;4,94437  ;9,32016  ;1,31554e+05
380  ;-10  ;4  ;10  ;1,31552e+05
1404  ;-3,84018  ;4,37554  ;9,27732  ;1,31507e+05
8825  ;-8,94958  ;4,86691  ;9,62833  ;1,31299e+05
8180  ;-6,5846  ;5,37684  ;9,29019  ;1,31147e+05
1680  ;-5,36511  ;3,99752  ;9,33884  ;1,31109e+05
157  ;0  ;6  ;10  ;1,31100e+05
6767  ;-6,64967  ;4,67115  ;9,28965  ;1,31021e+05
10373  ;-8,51656  ;5,61692  ;9,62833  ;1,30982e+05
8824  ;-8,94958  ;5,36691  ;9,62833  ;1,30665e+05
4869  ;-7,37123  ;4,2271  ;9,38183  ;1,30430e+05
7535  ;-1,37974  ;5,54839  ;9,62508  ;1,30370e+05
1362  ;-5,16105  ;5,69033  ;9,24429  ;1,30339e+05
155  ;0  ;4  ;10  ;1,30322e+05
6744  ;-0,946729  ;5,29839  ;9,62508  ;1,30237e+05
1341  ;-6,99585  ;5,06338  ;9,29334  ;1,30171e+05
5022  ;-1,42958  ;4,37494  ;9,6014  ;1,30008e+05
5392  ;-2,82246  ;3,67295  ;9,64802  ;1,29971e+05
378  ;-10  ;6  ;10  ;1,29915e+05
6060  ;-5  ;10  ;0,866025  ;1,29738e+05
1589  ;-6,17334  ;5,69031  ;9,28705  ;1,29699e+05
10694  ;-7,19354  ;6,29855  ;9,65001  ;1,29649e+05
6685  ;-0,946729  ;4,79839  ;9,62508  ;1,29354e+05
1110  ;-3,6885  ;5,57225  ;9,26464  ;1,29312e+05
1522  ;-6,30349  ;4,27892  ;9,28596  ;1,29256e+05
2405  ;-1,87875  ;5,84729  ;9,57686  ;1,29080e+05
9327  ;-8,26795  ;3,5  ;10  ;1,29063e+05
5023  ;-1,86259  ;4,12494  ;9,6014  ;1,29042e+05
6660  ;-1,73544  ;6,51434  ;10  ;1,28677e+05
8963  ;-1,73205  ;3,5  ;10  ;1,28675e+05
11070  ;-3,72546  ;6,62827  ;9,64351  ;1,28626e+05
8823  ;-9,38259  ;5,11692  ;9,62833  ;1,28606e+05
9131  ;-8,26795  ;6,5  ;10  ;1,28436e+05
11274  ;-0,433013  ;6,25  ;10  ;1,28290e+05
6558  ;-9,56699  ;3,75  ;10  ;1,28253e+05
5399  ;-2,96666  ;4,40398  ;9,3081  ;1,28000e+05
10826  ;-2,81867  ;6,33702  ;9,63561  ;1,27953e+05
7528  ;-4,13849  ;4,07771  ;9,27927  ;1,27866e+05
6683  ;-0,513716  ;5,04839  ;9,62508  ;1,27653e+05
9084  ;-0,433013  ;3,75  ;10  ;1,27644e+05
8214  ;-8,11923  ;5,86378  ;9,54931  ;1,27627e+05
8239  ;-6,2389  ;3,34472  ;9,63743  ;1,27489e+05
4561  ;-2,95905  ;5,54111  ;9,29569  ;1,27487e+05
5414  ;-3,75205  ;3,35345  ;9,62576  ;1,27348e+05
9323  ;-9,56699  ;6,25  ;10  ;1,27162e+05
9657  ;-7,01567  ;5,57066  ;9,29668  ;1,26995e+05
10867  ;-2,31653  ;3,86609  ;9,6014  ;1,26843e+05
6560  ;-9,094  ;4,29687  ;9,6253  ;1,26484e+05
7259  ;-3,25  ;0  ;1,29904  ;1,26430e+05
5488  ;-10  ;0  ;1,5  ;1,26281e+05
4840  ;-1,98213  ;4,98478  ;9,29213  ;1,26279e+05
10188  ;-6,94416  ;6,93601  ;10  ;1,25857e+05
6303  ;-6,21028  ;6,69562  ;9,65763  ;1,25788e+05
8238  ;-2,33651  ;6,11538  ;9,57686  ;1,25704e+05
1650  ;-5,06753  ;3,16561  ;9,66653  ;1,25606e+05
9586  ;0  ;10  ;1,5  ;1,25602e+05
8790  ;-8,08952  ;3,84217  ;9,63226  ;1,25141e+05
7389  ;-5,95256  ;3,95698  ;9,28532  ;1,25114e+05
5402  ;-3,42258  ;4,11957  ;9,28668  ;1,25075e+05
11284  ;-3,06382  ;6,94394  ;10  ;1,24990e+05
4998  ;-4,76998  ;6,02669  ;9,25253  ;1,24970e+05
9033  ;-4,0337  ;5,96765  ;9,2627  ;1,24840e+05
5389  ;-3,05167  ;3,06479  ;10  ;1,24818e+05
5607  ;-6,94753  ;3,06423  ;10  ;1,24772e+05
9721  ;-7,66105  ;6,12336  ;9,54931  ;1,24700e+05
3709  ;-8,66098  ;4,04687  ;9,6253  ;1,24681e+05
1828  ;-7,80977  ;6,75958  ;10  ;1,24424e+05
7405  ;-4,54509  ;4,75623  ;9,07145  ;1,24364e+05
9659  ;-6,60441  ;5,88412  ;9,29354  ;1,24153e+05
6732  ;-2,186  ;3,24115  ;10  ;1,23881e+05
9332  ;-7,46237  ;4,83377  ;9,27076  ;1,23765e+05
6550  ;-1,89008  ;3,73212  ;9,69173  ;1,23657e+05
8699  ;-2,1932  ;6,78243  ;10  ;1,23263e+05
6977  ;-6,2341  ;6,35899  ;9,34613  ;1,23252e+05
9487  ;-3,33913  ;5,85505  ;9,26793  ;1,23246e+05
7380  ;-4,84467  ;4,44836  ;9,08843  ;1,23036e+05
1682  ;-5,01921  ;3,70747  ;9,28295  ;1,23031e+05
10137  ;-7,08382  ;3,41733  ;9,66714  ;1,22952e+05
679  ;-4,43679  ;3,77989  ;9,28123  ;1,22626e+05
7404  ;-4,75018  ;4,94134  ;9,01247  ;1,22280e+05
9514  ;-4,44604  ;3,22034  ;9,64061  ;1,22276e+05
9328  ;-7,81395  ;3,24074  ;10  ;1,22011e+05
10587  ;-2,46074  ;4,59712  ;9,26148  ;1,21845e+05
10103  ;-9,56699  ;4,5  ;9,56699  ;1,21749e+05
4557  ;-2,4769  ;5,31948  ;9,23694  ;1,21605e+05
5799  ;-1,01051  ;5,83622  ;9,56059  ;1,21336e+05
6262  ;-0,433013  ;5,5  ;9,56699  ;1,21134e+05
11005  ;-4,97365  ;6,91169  ;9,66343  ;1,21024e+05
6848  ;-5,04977  ;4,63346  ;9,02945  ;1,21021e+05
6735  ;-2,34403  ;3,47327  ;9,69173  ;1,21017e+05
502  ;-9,13398  ;3,5  ;10  ;1,20859e+05
5800  ;-1,44353  ;6,08622  ;9,56059  ;1,20765e+05
487  ;-0,866025  ;6,5  ;10  ;1,20753e+05
8791  ;-7,63551  ;3,58291  ;9,63226  ;1,20689e+05
6681  ;-0,433013  ;4,5  ;9,56699  ;1,20656e+05
499  ;-9,13398  ;6,5  ;10  ;1,20613e+05
6860  ;-5,35776  ;6,11922  ;9,22398  ;1,20594e+05
9314  ;-9,56699  ;5,5  ;9,56699  ;1,20410e+05
5003  ;-5,33724  ;4,92733  ;8,99575  ;1,20397e+05
11395  ;-7,48318  ;5,39547  ;9,19598  ;1,20151e+05
483  ;-0,866025  ;3,5  ;10  ;1,19946e+05
9308  ;-5,86391  ;6,1192  ;9,24536  ;1,19762e+05
7818  ;-6,5556  ;3,81605  ;9,31012  ;1,19583e+05
6859  ;-4,26937  ;4,88862  ;8,97988  ;1,19058e+05
11072  ;-3,68433  ;6,25045  ;9,26599  ;1,18768e+05
6858  ;-4,5735  ;5,22762  ;8,94503  ;1,18625e+05
1645  ;-5,57455  ;3,14782  ;9,64234  ;1,18609e+05
7406  ;-6,00569  ;4,98484  ;8,9841  ;1,18554e+05
8700  ;-1,95889  ;6,40051  ;9,67223  ;1,18428e+05
1514  ;-7,03548  ;6,07794  ;9,30002  ;1,18388e+05
1363  ;-4,37891  ;6,36305  ;9,26076  ;1,18094e+05
11083  ;-3,20477  ;6,7405  ;9,64351  ;1,18059e+05
7362  ;-4,20047  ;4,45612  ;9,03059  ;1,18022e+05
1140  ;-7,92889  ;4,60415  ;9,24818  ;1,17978e+05
663  ;-5,60163  ;3,63504  ;9,28468  ;1,17888e+05
6823  ;-4,41657  ;6,85162  ;9,63038  ;1,17861e+05
1827  ;-7,4096  ;6,9667  ;10  ;1,17817e+05
