13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
6269  ;-3,57757  ;6,83557  ;0  ;0,00000e+00
2936  ;-8,26795  ;5,5  ;0  ;0,00000e+00
10971  ;-6,032  ;7,3459  ;0  ;0,00000e+00
6221  ;-2,72129  ;8,67554  ;0  ;0,00000e+00
6209  ;-4,75  ;9,56699  ;0  ;0,00000e+00
10193  ;-10  ;2,5  ;0  ;0,00000e+00
10194  ;-9,56699  ;2,75  ;0  ;0,00000e+00
6208  ;-4,5  ;10  ;0  ;0,00000e+00
10195  ;-9,56699  ;2,25  ;0  ;0,00000e+00
10197  ;-9,5  ;0  ;0  ;0,00000e+00
10198  ;-5,77151  ;7,80404  ;0  ;0,00000e+00
6168  ;-9,56699  ;4,25  ;0  ;0,00000e+00
6167  ;-10  ;4,5  ;0  ;0,00000e+00
10222  ;-9,56699  ;3,25  ;0  ;0,00000e+00
6077  ;-9,56699  ;4,75  ;0  ;0,00000e+00
6065  ;-8,70096  ;4,25  ;0  ;0,00000e+00
6064  ;-8,70096  ;3,75  ;0  ;0,00000e+00
6063  ;-9,13398  ;4  ;0  ;0,00000e+00
10287  ;-3,1681  ;3,57932  ;0  ;0,00000e+00
6043  ;-1,75835  ;9,56529  ;0  ;0,00000e+00
5967  ;-2,59134  ;6,96718  ;0  ;0,00000e+00
10943  ;-4,02434  ;4,62914  ;0  ;0,00000e+00
5966  ;-2,99954  ;7,38355  ;0  ;0,00000e+00
5956  ;-3,48567  ;8,2645  ;0  ;0,00000e+00
5955  ;-3,21809  ;7,8069  ;0  ;0,00000e+00
5210  ;-6,78191  ;2,19303  ;0  ;0,00000e+00
5211  ;-7,00034  ;2,61655  ;0  ;0,00000e+00
5212  ;-7,24718  ;2,16225  ;0  ;0,00000e+00
5954  ;-3,73242  ;7,81036  ;0  ;0,00000e+00
5940  ;-0,433013  ;4,25  ;0  ;0,00000e+00
5939  ;0  ;4,5  ;0  ;0,00000e+00
10317  ;-7,80562  ;8,65848  ;0  ;0,00000e+00
10923  ;-5,00171  ;2,66069  ;0  ;0,00000e+00
10922  ;-4,72782  ;2,19634  ;0  ;0,00000e+00
10921  ;-6,5  ;0  ;0  ;0,00000e+00
10338  ;-1,19501  ;0,441227  ;0  ;0,00000e+00
5922  ;-0,433013  ;2,75  ;0  ;0,00000e+00
5921  ;-0,866025  ;3  ;0  ;0,00000e+00
5920  ;-0,433013  ;3,25  ;0  ;0,00000e+00
5895  ;-0,433013  ;4,75  ;0  ;0,00000e+00
10411  ;-7,27331  ;0,458099  ;0  ;0,00000e+00
5894  ;-0,433013  ;5,25  ;0  ;0,00000e+00
10417  ;-6,26049  ;7,80981  ;0  ;0,00000e+00
10418  ;-6,5  ;8,26795  ;0  ;0,00000e+00
10425  ;-6,75  ;8,70096  ;0  ;0,00000e+00
10426  ;-6,25  ;8,70096  ;0  ;0,00000e+00
10908  ;-7,79948  ;4,22763  ;0  ;0,00000e+00
10430  ;-7,5  ;10  ;0  ;0,00000e+00
10432  ;-7,7551  ;9,56391  ;0  ;0,00000e+00
10904  ;-6  ;9,13398  ;0  ;0,00000e+00
3179  ;-0,433013  ;5,75  ;0  ;0,00000e+00
10437  ;-1,92354  ;0,899324  ;0  ;0,00000e+00
10438  ;-1,601  ;1,39186  ;0  ;0,00000e+00
10439  ;-2,13452  ;1,40873  ;0  ;0,00000e+00
5244  ;-7,02331  ;0,891112  ;0  ;0,00000e+00
5245  ;-6,76437  ;1,30238  ;0  ;0,00000e+00
10444  ;-3,48565  ;1,73545  ;0  ;0,00000e+00
5246  ;-7,28768  ;1,32747  ;0  ;0,00000e+00
10902  ;-8,70096  ;5,75  ;0  ;0,00000e+00
10901  ;-8,70096  ;5,25  ;0  ;0,00000e+00
10900  ;-10  ;6,5  ;0  ;0,00000e+00
650  ;-4,85519  ;4,98321  ;0  ;0,00000e+00
649  ;-4,4294  ;5,72886  ;0  ;0,00000e+00
648  ;-5,6113  ;5,57813  ;0  ;0,00000e+00
647  ;-4,40855  ;4,25941  ;0  ;0,00000e+00
646  ;-5,58789  ;4,37346  ;0  ;0,00000e+00
645  ;-5,00109  ;3,47338  ;0  ;0,00000e+00
644  ;-6,48341  ;4,99354  ;0  ;0,00000e+00
643  ;-5  ;6,5359  ;0  ;0,00000e+00
642  ;-3,64013  ;4,99888  ;0  ;0,00000e+00
641  ;-6,31383  ;3,68554  ;0  ;0,00000e+00
640  ;-3,68772  ;3,67829  ;0  ;0,00000e+00
639  ;-6,31052  ;6,31223  ;0  ;0,00000e+00
638  ;-3,6903  ;6,31837  ;0  ;0,00000e+00
637  ;-2,64845  ;6,52001  ;0  ;0,00000e+00
636  ;-2,68797  ;5,53667  ;0  ;0,00000e+00
635  ;-2,68754  ;4,4612  ;0  ;0,00000e+00
634  ;-2,64848  ;3,48036  ;0  ;0,00000e+00
633  ;-6,52097  ;7,35166  ;0  ;0,00000e+00
632  ;-5,54302  ;7,34014  ;0  ;0,00000e+00
631  ;-4,45172  ;7,34049  ;0  ;0,00000e+00
630  ;-3,46485  ;7,35276  ;0  ;0,00000e+00
3462  ;-2,14106  ;8,59554  ;0  ;0,00000e+00
629  ;-2,53422  ;7,41435  ;0  ;0,00000e+00
628  ;-7,36  ;3,48087  ;0  ;0,00000e+00
5320  ;-8,80471  ;0,441289  ;0  ;0,00000e+00
5321  ;-9,30471  ;0,941289  ;0  ;0,00000e+00
5322  ;-9,5  ;0,5  ;0  ;0,00000e+00
627  ;-7,33101  ;4,45525  ;0  ;0,00000e+00
626  ;-7,33049  ;5,55025  ;0  ;0,00000e+00
625  ;-7,35242  ;6,53504  ;0  ;0,00000e+00
624  ;-7,41435  ;7,46578  ;0  ;0,00000e+00
623  ;-2,53239  ;2,58577  ;0  ;0,00000e+00
622  ;-3,46664  ;2,63921  ;0  ;0,00000e+00
366  ;-10  ;9  ;0  ;0,00000e+00
367  ;-10  ;8  ;0  ;0,00000e+00
368  ;-10  ;7  ;0  ;0,00000e+00
369  ;-10  ;6  ;0  ;0,00000e+00
370  ;-10  ;5  ;0  ;0,00000e+00
371  ;-10  ;4  ;0  ;0,00000e+00
372  ;-10  ;3  ;0  ;0,00000e+00
373  ;-10  ;2  ;0  ;0,00000e+00
374  ;-10  ;1  ;0  ;0,00000e+00
621  ;-4,45564  ;2,66063  ;0  ;0,00000e+00
620  ;-5,54779  ;2,66075  ;0  ;0,00000e+00
619  ;-6,53507  ;2,64733  ;0  ;0,00000e+00
618  ;-7,46561  ;2,58576  ;0  ;0,00000e+00
617  ;-7,02874  ;1,73873  ;0  ;0,00000e+00
616  ;-6  ;1,73205  ;0  ;0,00000e+00
10764  ;-8,5  ;0  ;0  ;0,00000e+00
615  ;-5  ;1,73205  ;0  ;0,00000e+00
10762  ;-8,66103  ;2,20089  ;0  ;0,00000e+00
614  ;-4  ;1,73205  ;0  ;0,00000e+00
613  ;-2,9713  ;1,73884  ;0  ;0,00000e+00
612  ;-8,26104  ;7,02867  ;0  ;0,00000e+00
10758  ;-7,5  ;0  ;0  ;0,00000e+00
611  ;-8,26795  ;6  ;0  ;0,00000e+00
610  ;-8,26795  ;5  ;0  ;0,00000e+00
609  ;-8,26795  ;4  ;0  ;0,00000e+00
608  ;-8,26795  ;3  ;0  ;0,00000e+00
607  ;-8,18808  ;1,90178  ;0  ;0,00000e+00
606  ;-2,97133  ;8,26104  ;0  ;0,00000e+00
605  ;-4  ;8,26795  ;0  ;0,00000e+00
604  ;-5  ;8,26795  ;0  ;0,00000e+00
603  ;-6  ;8,26795  ;0  ;0,00000e+00
602  ;-7  ;8,26795  ;0  ;0,00000e+00
601  ;-8,10105  ;8,18914  ;0  ;0,00000e+00
600  ;-1,81198  ;1,90127  ;0  ;0,00000e+00
599  ;-1,73205  ;3  ;0  ;0,00000e+00
598  ;-1,73205  ;4  ;0  ;0,00000e+00
10753  ;-6,94753  ;3,0641  ;0  ;0,00000e+00
597  ;-1,73205  ;5  ;0  ;0,00000e+00
596  ;-1,73205  ;6  ;0  ;0,00000e+00
10750  ;-6,83691  ;3,58321  ;0  ;0,00000e+00
10749  ;-7,3455  ;3,96806  ;0  ;0,00000e+00
595  ;-1,73205  ;7  ;0  ;0,00000e+00
594  ;-1,81087  ;8,10105  ;0  ;0,00000e+00
593  ;-0,859274  ;8,60447  ;0  ;0,00000e+00
592  ;-0,872179  ;7,5102  ;0  ;0,00000e+00
10741  ;-8,35276  ;8,66493  ;0  ;0,00000e+00
591  ;-0,866025  ;6,5  ;0  ;0,00000e+00
590  ;-0,866025  ;5,5  ;0  ;0,00000e+00
589  ;-0,866025  ;4,5  ;0  ;0,00000e+00
5422  ;-2,19025  ;6,76  ;0  ;0,00000e+00
5423  ;-2,19025  ;6,26  ;0  ;0,00000e+00
5424  ;-1,73205  ;6,5  ;0  ;0,00000e+00
10738  ;-9,56529  ;8,24165  ;0  ;0,00000e+00
10737  ;-10  ;8,5  ;0  ;0,00000e+00
588  ;-0,866025  ;3,5  ;0  ;0,00000e+00
587  ;-0,866025  ;2,5  ;0  ;0,00000e+00
586  ;-0,844538  ;1,52993  ;0  ;0,00000e+00
585  ;-8,60447  ;9,14073  ;0  ;0,00000e+00
584  ;-7,5102  ;9,12782  ;0  ;0,00000e+00
583  ;-6,5  ;9,13398  ;0  ;0,00000e+00
582  ;-5,5  ;9,13398  ;0  ;0,00000e+00
581  ;-4,5  ;9,13398  ;0  ;0,00000e+00
580  ;-3,5  ;9,13398  ;0  ;0,00000e+00
579  ;-2,47125  ;9,09004  ;0  ;0,00000e+00
578  ;-1,51671  ;9,13059  ;0  ;0,00000e+00
577  ;-9,15537  ;1,52977  ;0  ;0,00000e+00
576  ;-9,13398  ;2,5  ;0  ;0,00000e+00
575  ;-9,13398  ;3,5  ;0  ;0,00000e+00
574  ;-9,13398  ;4,5  ;0  ;0,00000e+00
573  ;-9,13398  ;5,5  ;0  ;0,00000e+00
5443  ;-4,25  ;8,70096  ;0  ;0,00000e+00
5444  ;-3,75  ;8,70096  ;0  ;0,00000e+00
572  ;-9,13398  ;6,5  ;0  ;0,00000e+00
10724  ;-6,25  ;0,433013  ;0  ;0,00000e+00
571  ;-9,09004  ;7,52875  ;0  ;0,00000e+00
570  ;-9,13059  ;8,48329  ;0  ;0,00000e+00
569  ;-1,39003  ;0,882454  ;0  ;0,00000e+00
568  ;-2,45706  ;0,916195  ;0  ;0,00000e+00
567  ;-3,5  ;0,866025  ;0  ;0,00000e+00
566  ;-4,5  ;0,866025  ;0  ;0,00000e+00
565  ;-5,5  ;0,866025  ;0  ;0,00000e+00
564  ;-6,5  ;0,866025  ;0  ;0,00000e+00
