13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
11327  ;-9,11201  ;10  ;7,01438  ;7,28452e-07
5206  ;-0,887995  ;10  ;7,01438  ;7,28397e-07
9306  ;-6,04651  ;10  ;5,29528  ;7,28059e-07
6433  ;-7,34071  ;10  ;6,04225  ;7,28043e-07
10293  ;-2,66701  ;10  ;6,03677  ;7,28012e-07
261  ;-10  ;10  ;7  ;7,27919e-07
145  ;0  ;10  ;7  ;7,27852e-07
9189  ;-8,69751  ;10  ;6,76433  ;7,27638e-07
3395  ;-1,30249  ;10  ;6,76434  ;7,27599e-07
11200  ;-2,18909  ;10  ;6,26622  ;7,27398e-07
9268  ;-7,81023  ;10  ;6,26749  ;7,27390e-07
9269  ;-8,2645  ;10  ;6,51433  ;7,27293e-07
3396  ;-1,7355  ;10  ;6,51434  ;7,27239e-07
365  ;-4,85917  ;10  ;4,98611  ;7,26819e-07
6170  ;-9,56699  ;10  ;6,75  ;7,26401e-07
9660  ;-5,61486  ;10  ;4,99647  ;7,26312e-07
7350  ;-0,433013  ;10  ;6,75  ;7,26304e-07
6319  ;-4,2505  ;10  ;4,9924  ;7,25905e-07
279  ;-9,13398  ;10  ;6,5  ;7,25073e-07
296  ;-0,866025  ;10  ;6,5  ;7,25044e-07
350  ;-2,68788  ;10  ;5,5411  ;7,24514e-07
6265  ;-3,16486  ;10  ;5,2699  ;7,24481e-07
6169  ;-10  ;10  ;6,5  ;7,24452e-07
335  ;-7,32893  ;10  ;5,54951  ;7,24448e-07
7803  ;0  ;10  ;6,5  ;7,24377e-07
11011  ;-8,70096  ;10  ;6,25  ;7,24193e-07
8678  ;-6,90427  ;10  ;5,27482  ;7,24174e-07
3397  ;-1,29904  ;10  ;6,25  ;7,24154e-07
10859  ;-7,79844  ;10  ;5,77476  ;7,23976e-07
10813  ;-2,20997  ;10  ;5,77055  ;7,23965e-07
357  ;-3,64184  ;10  ;4,9987  ;7,23770e-07
331  ;-8,26795  ;10  ;6  ;7,23675e-07
318  ;-1,73205  ;10  ;6  ;7,23629e-07
360  ;-6,47961  ;10  ;5,00013  ;7,23254e-07
10843  ;-5,23774  ;10  ;4,69431  ;7,22906e-07
4071  ;-9,56699  ;10  ;6,25  ;7,22448e-07
5824  ;-0,433013  ;10  ;6,25  ;7,22401e-07
10840  ;-4,64189  ;10  ;4,62426  ;7,21639e-07
9639  ;-6,04796  ;10  ;4,70132  ;7,21077e-07
4070  ;-9,13398  ;10  ;6  ;7,20778e-07
4822  ;-0,866025  ;10  ;6  ;7,20745e-07
10841  ;-4,03322  ;10  ;4,63056  ;7,20219e-07
262  ;-10  ;10  ;6  ;7,19812e-07
146  ;0  ;10  ;6  ;7,19745e-07
11010  ;-8,70096  ;10  ;5,75  ;7,19501e-07
4821  ;-1,29904  ;10  ;5,75  ;7,19404e-07
5875  ;-2,20997  ;10  ;5,27055  ;7,18769e-07
10560  ;-7,79844  ;10  ;5,27476  ;7,18766e-07
5592  ;-1,73205  ;10  ;5,5  ;7,18719e-07
11018  ;-8,26795  ;10  ;5,5  ;7,18713e-07
5876  ;-2,68789  ;10  ;5,00236  ;7,18345e-07
8677  ;-7,32886  ;10  ;5,00284  ;7,18282e-07
6295  ;-3,16486  ;10  ;4,73116  ;7,17372e-07
362  ;-5,61631  ;10  ;4,40252  ;7,17249e-07
4069  ;-9,56699  ;10  ;5,75  ;7,17158e-07
5825  ;-0,433013  ;10  ;5,75  ;7,17120e-07
6530  ;-6,9042  ;10  ;4,72815  ;7,16894e-07
11313  ;-5,02046  ;10  ;4,33247  ;7,16541e-07
280  ;-9,13398  ;10  ;5,5  ;7,14822e-07
304  ;-0,866025  ;10  ;5,5  ;7,14807e-07
363  ;-4,4246  ;10  ;4,26242  ;7,14428e-07
11145  ;-10  ;10  ;5,5  ;7,13587e-07
6096  ;0  ;10  ;5,5  ;7,13555e-07
3072  ;-8,70096  ;10  ;5,25  ;7,13096e-07
5593  ;-1,29904  ;10  ;5,25  ;7,13031e-07
8585  ;-3,66529  ;10  ;4,33945  ;7,13023e-07
6529  ;-6,39569  ;10  ;4,34262  ;7,12753e-07
330  ;-8,26795  ;10  ;5  ;7,11686e-07
312  ;-1,73205  ;10  ;5  ;7,11662e-07
5877  ;-2,20997  ;10  ;4,73181  ;7,10493e-07
10559  ;-7,79837  ;10  ;4,72808  ;7,10373e-07
9140  ;-9,56699  ;10  ;5,25  ;7,09923e-07
6098  ;-0,433013  ;10  ;5,25  ;7,09897e-07
351  ;-2,68789  ;10  ;4,46362  ;7,09042e-07
2555  ;-9,56699  ;0  ;5,25  ;-7,09710e-07
9489  ;-0,433013  ;0  ;5,25  ;-7,09756e-07
7289  ;-7,80362  ;0  ;4,72723  ;-7,10172e-07
9927  ;-2,19595  ;0  ;4,72739  ;-7,10183e-07
93  ;-1,73205  ;0  ;5  ;-7,11445e-07
100  ;-8,26795  ;0  ;5  ;-7,11526e-07
7229  ;-6,42114  ;0  ;4,3428  ;-7,12455e-07
10781  ;-3,57595  ;0  ;4,34467  ;-7,12459e-07
8435  ;-8,70096  ;0  ;5,25  ;-7,12892e-07
7563  ;-1,29904  ;0  ;5,25  ;-7,12929e-07
8696  ;-10  ;0  ;5,5  ;-7,13311e-07
9488  ;0  ;0  ;5,5  ;-7,13426e-07
65  ;-9,13398  ;0  ;5,5  ;-7,14633e-07
56  ;-0,866025  ;0  ;5,5  ;-7,14697e-07
10520  ;-3,06198  ;0  ;4,72739  ;-7,16494e-07
10139  ;-6,93295  ;0  ;4,72672  ;-7,16514e-07
130  ;-4,42189  ;0  ;4,38867  ;-7,16907e-07
8695  ;-9,56699  ;0  ;5,75  ;-7,16918e-07
9490  ;-0,433013  ;0  ;5,75  ;-7,16997e-07
129  ;-5,62661  ;0  ;4,41208  ;-7,17242e-07
7610  ;-5,02425  ;0  ;4,40037  ;-7,17767e-07
7395  ;-7,3393  ;0  ;4,99935  ;-7,17936e-07
10519  ;-2,65967  ;0  ;5,00143  ;-7,17976e-07
7384  ;-8,26795  ;0  ;5,5  ;-7,18501e-07
10794  ;-2,19577  ;0  ;5,27405  ;-7,18506e-07
7383  ;-7,80363  ;0  ;5,27212  ;-7,18536e-07
7564  ;-1,73205  ;0  ;5,5  ;-7,18575e-07
5332  ;-8,70096  ;0  ;5,75  ;-7,19239e-07
7565  ;-1,29904  ;0  ;5,75  ;-7,19359e-07
39  ;-10  ;0  ;6  ;-7,19502e-07
21  ;0  ;0  ;6  ;-7,19635e-07
5330  ;-9,13398  ;0  ;6  ;-7,20533e-07
9460  ;-0,866025  ;0  ;6  ;-7,20598e-07
