13:23; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;EPSY
6887  ;-8,29947  ;7,0106  ;0,515651  ;-3,93038e-07
5020  ;-1,58282  ;7,65986  ;0,429893  ;-3,93121e-07
6159  ;-1,65973  ;4,98319  ;0,568747  ;-3,94101e-07
6819  ;-3,90184  ;6,32484  ;0,872423  ;-3,94147e-07
5374  ;-5,07661  ;6,6393  ;0,882402  ;-3,94325e-07
2803  ;-5,7816  ;1,23766  ;0,449565  ;-3,94454e-07
4392  ;-4,4379  ;6,80761  ;0,864942  ;-3,94894e-07
5581  ;-6,47062  ;5,09259  ;0,905261  ;-3,94929e-07
4436  ;-8,01234  ;9,23299  ;0,16918  ;-3,94934e-07
6492  ;-8,30336  ;3,09423  ;0,533204  ;-3,95068e-07
5275  ;-9,25258  ;8,03713  ;0,16285  ;-3,95311e-07
2580  ;-7,87575  ;8,10174  ;0,489286  ;-3,95547e-07
6139  ;-8,28292  ;4,05588  ;0,589195  ;-3,95550e-07
